x;y
-0.59;0.8309407
-0.58;0.8364626
-0.57;0.8419010
-0.56;0.8472551
-0.55;0.8525245
-0.54;0.8577087
-0.53;0.8628071
-0.52;0.8678192
-0.51;0.8727445
-0.50;0.8775826
-0.49;0.8823329
-0.48;0.8869949
-0.47;0.8915683
-0.46;0.8960525
-0.45;0.9004471
-0.44;0.9047517
-0.43;0.9089657
-0.42;0.9130889
-0.41;0.9171208
-0.40;0.9210610
-0.39;0.9249091
-0.38;0.9286646
-0.37;0.9323273
-0.36;0.9358968
-0.35;0.9393727
-0.34;0.9427547
-0.33;0.9460423
-0.32;0.9492354
-0.31;0.9523336
-0.30;0.9553365
-0.29;0.9582439
-0.28;0.9610554
-0.27;0.9637709
-0.26;0.9663900
-0.25;0.9689124
-0.24;0.9713380
-0.23;0.9736664
-0.22;0.9758974
-0.21;0.9780309
-0.20;0.9800666
-0.19;0.9820042
-0.18;0.9838437
-0.17;0.9855848
-0.16;0.9872273
-0.15;0.9887711
-0.14;0.9902160
-0.13;0.9915619
-0.12;0.9928086
-0.11;0.9939561
-0.10;0.9950042
-0.09;0.9959527
-0.08;0.9968017
-0.07;0.9975510
-0.06;0.9982005
-0.05;0.9987503
-0.04;0.9992001
-0.03;0.9995500
-0.02;0.9998000
-0.01;0.9999500
0.00;1.0000000
0.01;0.9999500
0.02;0.9998000
0.03;0.9995500
0.04;0.9992001
0.05;0.9987503
0.06;0.9982005
0.07;0.9975510
0.08;0.9968017
0.09;0.9959527
0.10;0.9950042
0.11;0.9939561
0.12;0.9928086
0.13;0.9915619
0.14;0.9902160
0.15;0.9887711
0.16;0.9872273
0.17;0.9855848
0.18;0.9838437
0.19;0.9820042
0.20;0.9800666
0.21;0.9780309
0.22;0.9758974
0.23;0.9736664
0.24;0.9713380
0.25;0.9689124
0.26;0.9663900
0.27;0.9637709
0.28;0.9610554
0.29;0.9582439
0.30;0.9553365
0.31;0.9523336
0.32;0.9492354
0.33;0.9460423
0.34;0.9427547
0.35;0.9393727
0.36;0.9358968
0.37;0.9323273
0.38;0.9286646
0.39;0.9249091
0.40;0.9210610
0.41;0.9171208
0.42;0.9130889
